algo,n,k,m_cheby,iters,matvecs,ms_total,iters_per_s,matvecs_per_s,lambda,residual,seed
"block",1024,4,0,12,48,34.73575,345.4654066775584,1381.8616267102336,1024.05908203125,0.001407995107445551,1
"block",1531,4,0,12,48,38.124792,314.75581558582667,1259.0232623433067,1530.964111328125,0.0011106946001507702,1
"power",4096,1,0,16,16,57.54775,278.029983796065,278.029983796065,4096.015625,0.000683447720532649,2
"cheby",4096,1,3,6,18,55.225292,108.645871895073,325.937615685219,4097.20751953125,0.000619759462369339,3
"block",8192,8,0,8,64,123.153125,64.95978076073993,519.6782460859195,8192.021484375,0.0004795704584840325,4
